cod_ubi;PAIS
U001;El Salvador
U002;Paraguay
U003;Brasil
U004;Ecuador
U005;Nicaragua
U006;Uruguay
U007;Puerto Rico
U008;Honduras
U009;Estados Unidos
U010;Perú
U011;Argentina
U012;Chile
U013;Colombia
U014;Cuba
U015;Venezuela
U016;República Dominicana
U017;Guatemala
U018;México
U019;Bolivia
U020;Costa Rica
